"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","Significance"
"USP24",2207.72712886566,0.14793539311445,0.0832306677596717,1.77741446868615,0.0755000719629438,0.370019760243314,"USP24","23358","Not Significant"
"FGGY",304.080049955427,0.249767636288421,0.180654316906289,1.38257219957817,0.166796078207749,0.508603484741518,"FGGY","55277","Not Significant"
"CACHD1",918.172458841884,-0.0161921452732303,0.188837009649691,-0.0857466727696447,0.931667799223535,0.979681398262881,"CACHD1","57685","Not Significant"
"USP1",384.517204700507,0.0757026050701288,0.144472920924687,0.523991655914482,0.600284343448049,0.841353766118086,"USP1","7398","Not Significant"
"ITGB3BP",48.3428026519027,-0.132055986403973,0.235991354662221,-0.559579763390008,0.57576611127223,0.827794832928806,"ITGB3BP","23421","Not Significant"
"LEPR",172.435427531451,0.0903153768360819,0.232129283291818,0.389073603964663,0.697221699114863,0.886810182875768,"LEPR","3953","Not Significant"
"NFIA",3087.09648229472,0.262777895279298,0.190334260678922,1.38061268813071,0.167398079993667,0.509225543071558,"NFIA","4774","Not Significant"
"NEGR1",1177.75883112912,-0.291546974609485,0.282193070926113,-1.03314717704682,0.301535028401865,0.642364331789165,"NEGR1","257194","Not Significant"
"LRRC7",2423.51915996395,-0.170414368585808,0.170884026985198,-0.997251595671776,0.318642402414394,0.65636846486391,"LRRC7","57554","Not Significant"
"ST6GALNAC3",173.12259863116,0.0599151541150842,0.199886113720151,0.299746455619063,0.764370560450571,0.916508013228917,"ST6GALNAC3","256435","Not Significant"
"PIGK",255.530604582109,-0.329447581718032,0.215984859871026,-1.52532720078046,0.127177506521196,0.455201548891232,"PIGK","10026","Not Significant"
"CLCA4",90.4346010058732,0.45499570273383,0.492146464938426,0.924512792732862,0.355219394076972,0.686300137952736,"CLCA4","22802","Not Significant"
"LRRC8C",393.365479073722,-0.0499305235256743,0.130224099850006,-0.38341999355868,0.701408381264174,0.887710542778714,"LRRC8C","84230","Not Significant"
"PKN2-AS1",17.0808490306566,-0.450279207234499,0.309030857017711,-1.45706875869905,0.145097401139199,0.479460971532974,"PKN2-AS1","101927891","Not Significant"
"DDAH1",2473.49473446209,-0.13256812055853,0.19251747356296,-0.68860305563472,0.491073097645012,0.780628190126859,"DDAH1","23576","Not Significant"
"LOC729970",69.5588167060173,-0.337654695070462,0.148566059811807,-2.27275796031866,0.0230407697142247,0.230417432083602,"LOC729970",NA,"Not Significant"
"FAM69A",357.923549851632,-0.279604857837071,0.179149996576417,-1.56073046709663,0.118587359487778,0.442263851003039,"FAM69A",NA,"Not Significant"
"GCLM",282.307754519706,-0.205282592172883,0.176658859618744,-1.16202828783064,0.245223974647453,0.58972226542502,"GCLM","2730","Not Significant"
"NTNG1",191.385122960339,-0.0104652331632182,0.184860599731805,-0.0566114855107099,0.954854685105023,0.987864470325746,"NTNG1","22854","Not Significant"
"PHTF1",367.546513826339,0.188121423258192,0.139432577341236,1.34919275570585,0.177275061041857,0.520864850749412,"PHTF1","10745","Not Significant"
"GNAI3",440.65544787967,-0.0739650696936878,0.108141068473265,-0.683968364081529,0.493995142855314,0.782621447478343,"GNAI3","2773","Not Significant"
"KCNA2",975.327929096383,0.0236175331219678,0.242449159347076,0.0974123118660036,0.92239896777401,0.976060376956416,"KCNA2","3737","Not Significant"
"RAP1A",577.632206494257,0.167349970284086,0.185651987292087,0.901417607885844,0.367366322899553,0.696210977462437,"RAP1A","5906","Not Significant"
"RHOC",821.283405618939,-0.105054991567573,0.158177195047992,-0.664160162504458,0.506587807639568,0.789252365740426,"RHOC","389","Not Significant"
"NOTCH2",3824.89585113704,0.35806100514717,0.1939555769228,1.84609801289544,0.064877975334581,0.349757893994741,"NOTCH2","4853","Not Significant"
"WDR3",221.580050530847,-0.218915884559655,0.143755627888936,-1.52283349023933,0.127800368902579,0.45623970981739,"WDR3","10885","Not Significant"
"OTUD7B",1874.24377544266,0.0684825313915899,0.23954974734867,0.285880207136733,0.774969873792999,0.920482789097351,"OTUD7B","56957","Not Significant"
"PDZK1",12.1161084783287,-0.122413769385239,0.2898159598815,-0.422384500271453,0.672744389437619,0.876861910625672,"PDZK1","5174","Not Significant"
"NBPF8",26.3136235945849,0.302928589807294,0.298280620128004,1.01558253994945,0.309828222784675,0.64943460590689,"NBPF8","728841","Not Significant"
"NBPF25P",62.2751764865657,0.376844524845622,0.284889138209865,1.32277603566626,0.185909868890656,0.530397235580417,"NBPF25P","101929780","Not Significant"
"NBPF10",92.473155456846,0.501260061124077,0.221164823898412,2.2664547295022,0.0234235559291584,0.232443063801659,"NBPF10","100132406","Not Significant"
"TPM3",1597.2602518405,-0.355086361011516,0.110280744613893,-3.21984007502596,0.00128262128460928,0.0774090179063563,"TPM3","7170","Not Significant"
"SMG5",2213.3664840155,0.316131856437223,0.112139890298979,2.8190847663073,0.00481607979168346,0.125584515437485,"SMG5","23381","Not Significant"
"GBAP1",113.606844478383,0.0553928700268411,0.209713471021153,0.264135964929282,0.791675151663202,0.927470974894406,"GBAP1",NA,"Not Significant"
"FCGR2A",178.196786667746,-0.442511024443018,0.336602448134851,-1.31463994660472,0.188630938135938,0.533796072648912,"FCGR2A","2212","Not Significant"
"PBX1",1600.33732073433,-0.0332058751823092,0.144392415949026,-0.229969662631254,0.818115343668152,0.939214060104707,"PBX1","5087","Not Significant"
"DNM3",3076.68085852434,-0.162456416798909,0.174219625688194,-0.932480575349541,0.351088220712179,0.683583760972725,"DNM3","26052","Not Significant"
"MROH9",8.21259037646061,0.786881515504935,0.514477496488266,1.52947703422609,0.126146228129746,0.453759609904186,"MROH9","80133","Not Significant"
"TNN",9.33873297221139,-1.14224884216414,0.34996707944307,-3.26387511643065,0.00109899595301473,0.0717318195081177,"TNN","63923","Not Significant"
